# Time	Kinectic Energy
0.010000	0.000000
0.020000	-0.049050
0.030000	-0.098100
0.040000	-0.147150
0.050000	-0.196200
0.060000	-0.245250
0.070000	-0.294300
0.080000	-0.343350
0.090000	-0.392400
0.100000	-0.441450
0.110000	-0.490500
0.120000	-0.539550
0.130000	-0.588600
0.140000	-0.637650
0.150000	-0.686700
0.160000	-0.735750
0.170000	-0.784800
0.180000	-0.833850
0.190000	-0.882900
0.200000	-0.931950
0.210000	-0.981000
0.220000	-1.030050
0.230000	-1.079100
0.240000	-1.128150
0.250000	-1.177200
0.260000	-1.226250
0.270000	-1.275300
0.280000	-1.324350
0.290000	-1.373400
0.300000	-1.422450
0.310000	-1.471500
0.320000	-1.520550
0.330000	-1.569600
0.340000	-1.618650
0.350000	-1.667700
0.360000	-1.716750
0.370000	-1.765800
0.380000	-1.814850
0.390000	-1.863900
0.400000	-1.912950
0.410000	-1.962000
0.420000	-2.011050
0.430000	-2.060100
0.440000	-2.109150
0.450000	-2.158200
0.460000	-2.207250
0.470000	-2.256300
0.480000	-2.305350
0.490000	-2.354400
0.500000	-2.403450
0.510000	-2.452500
0.520000	-2.501550
0.530000	-2.550600
0.540000	-2.599650
0.550000	-2.648700
0.560000	-2.697750
0.570000	-2.746800
0.580000	-2.795850
0.590000	-2.844900
0.600000	-2.893950
0.610000	-2.943000
0.620000	-2.992050
0.630000	-3.041100
0.640000	-3.090150
0.650000	-3.139200
0.660000	-3.188250
0.670000	-3.237300
0.680000	-3.286350
0.690000	-3.335400
0.700000	-3.384450
0.710000	-3.433500
0.720000	-3.482550
0.730000	-3.531600
0.740000	-3.580650
0.750000	-3.629700
0.760000	-3.678750
0.770000	-3.727800
0.780000	-3.776850
0.790000	-3.825900
0.800000	-3.874950
0.810000	-3.924000
0.820000	-3.973050
0.830000	-4.022100
0.839999	-4.071150
0.849999	-4.120200
0.859999	-4.169250
0.869999	-4.218300
0.879999	-4.267350
0.889999	-4.316400
0.899999	-4.365450
0.909999	-4.414500
0.919999	-4.463550
0.929999	-4.512600
0.939999	-4.561650
0.949999	-4.610700
0.959999	-4.659750
0.969999	-4.708800
0.979999	-4.757850
0.989999	-4.806900
0.999999	-4.855950
1.009999	-4.905000
1.019999	-4.954050
1.029999	-5.003100
1.039999	-5.052150
1.049999	-5.101200
1.059999	-5.150250
1.069999	-5.199300
1.079999	-5.248350
1.089999	-5.297400
1.099999	-5.346450
1.109999	-5.395500
1.119999	-5.444550
1.129999	-5.493600
1.139999	-5.542650
1.149999	-5.591700
1.159999	-5.640750
1.169999	-5.689800
1.179999	-5.738850
1.189999	-5.787900
1.199999	-5.836950
1.209999	-5.886000
1.219999	-5.935050
1.229999	-5.984100
1.239999	-6.033150
1.249999	-6.082200
1.259999	-6.131250
1.269999	-6.180300
1.279999	-6.229350
1.289999	-6.278400
1.299999	-6.327450
1.309999	-6.376500
1.319999	-6.425550
1.329999	-6.474600
1.339999	-6.523650
1.349999	-6.572700
1.359999	-6.621750
1.369999	-6.670800
1.379999	-6.719850
1.389999	-6.768900
1.399999	-6.817950
1.409999	-6.867000
1.419999	-6.916050
1.429999	-6.965100
1.439999	-7.014150
1.449999	-7.063200
1.459999	-7.112250
1.469999	-7.161300
1.479999	-7.210350
1.489999	-7.259400
1.499999	-7.308450
1.509999	-7.357500
1.519999	-7.406550
1.529999	-7.455600
1.539999	-7.504650
1.549999	-7.553700
1.559999	-7.602750
1.569999	-7.651800
1.579999	-7.700850
1.589999	-7.749900
1.599999	-7.798950
1.609999	-7.848000
1.619999	-7.897050
1.629999	-7.946100
1.639999	-7.995150
1.649999	-8.044200
1.659999	-8.093250
1.669999	-8.142300
1.679999	-8.191350
1.689999	-8.240400
1.699999	-8.289450
1.709999	-8.338500
1.719999	-8.387550
1.729999	-8.436600
1.739999	-8.485650
1.749999	-8.534700
1.759999	-8.583750
1.769999	-8.632800
1.779999	-8.681850
1.789999	-8.730900
1.799999	-8.779950
1.809999	-8.829000
1.819999	-8.878050
1.829999	-8.927100
1.839999	-8.976150
1.849999	-9.025200
1.859999	-9.074250
1.869999	-9.123300
1.879999	-9.172350
1.889999	-9.221400
1.899999	-9.270450
1.909999	-9.319500
1.919999	-9.368550
1.929999	-9.417600
1.939999	-9.466650
1.949998	-9.515700
1.959998	-9.564750
1.969998	-9.613800
1.979998	-9.662850
1.989998	-9.711900
1.999998	-9.760950
2.009999	-9.810000
2.019999	-9.859050
2.029999	-9.908100
2.039999	-9.957150
2.049999	-10.006200
2.059999	-10.055250
2.069999	-10.104300
2.079998	-10.153350
2.089998	-10.202400
2.099998	-10.251450
2.109998	-10.300500
2.119998	-10.349550
2.129998	-10.398600
2.139998	-10.447650
2.149998	-10.496700
2.159998	-10.545750
2.169998	-10.594800
2.179998	-10.643850
2.189998	-10.692900
2.199998	-10.741950
2.209998	-10.791000
2.219998	-10.840050
2.229998	-10.889100
2.239998	-10.938150
2.249998	-10.987200
2.259998	-11.036250
2.269998	-11.085300
2.279998	-11.134350
2.289998	-11.183400
2.299998	-11.232450
2.309998	-11.281500
2.319998	-11.330550
2.329998	-11.379600
2.339998	-11.428650
2.349998	-11.477700
2.359998	-11.526750
2.369998	-11.575800
2.379998	-11.624850
2.389998	-11.673900
2.399998	-11.722950
2.409998	-11.772000
2.419998	-11.821050
2.429998	-11.870100
2.439998	-11.919150
2.449998	-11.968200
2.459998	-12.017250
2.469998	-12.066300
2.479998	-12.115350
2.489998	-12.164400
2.499998	-12.213450
2.509998	-12.262500
